Speaker,Adressee,Most Likely Sentiment,Total Mentions,Avg Positive Probability,Avg Neutral Probability,Avg Negative Probability,Number of Positive Mentions,Number of Neutral Mentions,Number of Negative Mentions
Albania,Ukraine,negative,3,0.22,0.15,0.62,1,0,2
Algeria,Ukraine,negative,1,0.01,0.28,0.71,0,0,1
Andorra,Ukraine,negative,2,0.01,0.39,0.6,0,1,1
Antigua and Barbuda,Ukraine,negative,2,0.01,0.14,0.85,0,0,2
Argentina,Ukraine,neutral,1,0.15,0.8,0.05,0,1,0
Australia,Ukraine,negative,5,0.01,0.1,0.89,0,0,5
Austria,Ukraine,negative,5,0.26,0.37,0.38,1,2,2
Bahamas,Ukraine,positive,1,0.9,0.09,0,1,0,0
Bangladesh,Ukraine,negative,2,0.04,0.4,0.56,0,1,1
Barbados,Ukraine,negative,2,0.01,0.25,0.74,0,0,2
Belarus,Ukraine,negative,14,0.19,0.44,0.37,4,4,6
Belgium,Ukraine,negative,9,0.2,0.4,0.41,2,3,4
Belize,Ukraine,negative,1,0.01,0.14,0.85,0,0,1
Benin,Ukraine,negative,2,0.18,0.43,0.38,0,1,1
Bolivia,Ukraine,negative,2,0.17,0.44,0.39,0,1,1
Bosnia and Herzegovina,Ukraine,negative,8,0.12,0.48,0.4,0,4,4
Botswana,Ukraine,positive,5,0.47,0.49,0.04,3,2,0
Brazil,Ukraine,neutral,4,0.18,0.53,0.29,1,2,1
Bulgaria,Ukraine,negative,4,0.23,0.11,0.66,1,0,3
Burkina Faso,Ukraine,neutral,1,0.02,0.88,0.1,0,1,0
Burundi,Ukraine,neutral,1,0.01,0.57,0.41,0,1,0
Cambodia,Ukraine,negative,1,0.01,0.11,0.89,0,0,1
Cameroon,Ukraine,neutral,1,0.29,0.69,0.02,0,1,0
Canada,Ukraine,negative,7,0.02,0.28,0.7,0,1,6
Chad,Ukraine,negative,1,0.01,0.33,0.66,0,0,1
Chile,Ukraine,negative,2,0.13,0.4,0.47,0,1,1
China,Ukraine,neutral,1,0.37,0.6,0.04,0,1,0
Colombia,Ukraine,negative,2,0.14,0.44,0.42,0,1,1
Comoros,Ukraine,negative,2,0.04,0.32,0.64,0,1,1
Congo,Ukraine,negative,2,0.02,0.42,0.56,0,1,1
Congo the Democratic Republic of the,Ukraine,negative,1,0.01,0.21,0.78,0,0,1
Costa Rica,Ukraine,negative,2,0.01,0.19,0.8,0,0,2
Cote d'Ivoire,Ukraine,negative,7,0.21,0.42,0.36,1,3,3
Croatia,Ukraine,neutral,7,0.17,0.49,0.34,0,4,3
Cuba,Ukraine,neutral,1,0.48,0.49,0.04,0,1,0
Cyprus,Ukraine,negative,1,0.02,0.28,0.69,0,0,1
Czech Republic,Ukraine,negative,17,0.19,0.36,0.45,4,4,9
Denmark,Ukraine,negative,6,0.09,0.43,0.48,0,3,3
Djibouti,Ukraine,negative,3,0.04,0.41,0.55,0,1,2
Dominica,Ukraine,negative,10,0.18,0.41,0.41,2,3,5
Dominican Republic,Ukraine,negative,2,0.02,0.27,0.71,0,0,2
